n_matched_treated_tracts,n_matched_control_tracts,max_control_reuse,n_ever_treated_tracts,cs_full_panel_att,cs_full_panel_se,cs_matched_att,cs_matched_se,cs_with_controls_att,cs_with_controls_se,sweep,parameter,value
329,177,46,329,20.869327672309993,0.3579227747086312,9.367905381125835,0.39611458051982845,-71.5277988162325,0.5553370934894702,threshold_percentile,percentile,0.10
311,173,41,311,20.179001246930284,0.3554996784412164,8.018885351079135,0.394662829654342,-75.95866625725938,0.5693608818095395,threshold_percentile,percentile,0.15
274,179,30,274,20.64857151121078,0.35437740204256707,4.603804946550014,0.3884588195069081,-86.77209246625921,0.5534946099991174,threshold_percentile,percentile,0.25
245,164,30,245,21.161903588801014,0.37897687970203403,3.9995755530487047,0.41076191796441563,-75.14537352625715,0.6750337231431331,threshold_percentile,percentile,0.33
183,150,28,183,19.831427403649958,0.43482531651011647,3.647207449472211,0.4648777985277933,-86.82732225604674,0.6521174238087699,threshold_percentile,percentile,0.50
