n_matched_treated_tracts,n_matched_control_tracts,max_control_reuse,n_ever_treated_tracts,cs_full_panel_att,cs_full_panel_se,cs_matched_att,cs_matched_se,cs_with_controls_att,cs_with_controls_se,sweep,parameter,value
274,84,24,274,20.64857151116391,0.3543774020425503,2.4499213884320135,0.4415556608906759,-58.26949344954818,0.5578217535705926,k_neighbors,k_neighbors,1
274,139,29,274,20.64857151116391,0.3543774020425503,3.4586107219535633,0.40377227675986094,-82.26606775842086,0.5395869085739514,k_neighbors,k_neighbors,2
274,179,30,274,20.64857151116391,0.3543774020425503,4.603804946555872,0.38845881950688455,-86.19934571318943,0.5458139241876886,k_neighbors,k_neighbors,3
274,214,41,274,20.64857151116391,0.3543774020425503,5.715365103257347,0.38105165258568685,-87.58147298522738,0.5588542069872553,k_neighbors,k_neighbors,4
274,247,42,274,20.64857151116391,0.3543774020425503,6.774011781285218,0.37686265660072227,-89.72962977840682,0.5734231677121268,k_neighbors,k_neighbors,5
