rel_time,CS_ATT,CS_SE,TWFE_Coef,TWFE_SE,diff_point_estimate,diff_se
-12,-5.873799982892375,1.5864302743273313,-11.59477834650753,3.7326902676092977,5.720978363615155,-2.1462599932819666
-11,-5.440059113674101,1.4585276898696948,-11.728496831315395,3.8345593459987093,6.288437717641294,-2.3760316561290145
-10,-6.195681424464763,1.3305162047048102,-12.152653542108306,3.8584192245589475,5.956972117643542,-2.5279030198541372
-9,-4.984661082679966,1.2374603806873161,-11.4533390670378,3.833210078971053,6.468677984357835,-2.595749698283737
-8,-4.191839372413477,1.125762825198649,-10.88438575810404,3.7576200955463785,6.692546385690563,-2.6318572703477296
-7,-4.145324897288208,1.051290267080764,-10.869175605355686,3.724867414436138,6.723850708067478,-2.673577147355374
-6,-5.509949056573219,1.070378566565778,-11.8370504532352,3.755915002211738,6.327101396661981,-2.68553643564596
-5,-5.103974507587054,1.0605284426741297,-11.346259317480042,3.834635625203681,6.242284809892988,-2.7741071825295514
-4,-3.6694729210691825,1.0154608896746082,-10.50231682940201,3.836152709830704,6.832843908332828,-2.820691820156096
-3,-1.682185554180011,0.8512212986556127,-9.443775329625208,3.8419499991885377,7.761589775445197,-2.990728700532925
-2,-1.2268651161979407,0.5988135966736876,-8.861617808322507,3.6575009143662123,7.634752692124566,-3.0586873176925247
0,0.9195105732723421,0.5908543980895762,-7.580792917746945,3.478967292346837,8.500303491019286,-2.8881128942572607
1,1.7177443455768229,0.8485413802601072,-7.5276623074865965,3.600021542670782,9.24540665306342,-2.751480162410675
2,3.6553745528832775,1.1242523241301157,-5.994861554330536,3.5764146081807575,9.650236107213814,-2.452162284050642
3,3.4066217298633372,1.133049022066394,-5.800300696466401,3.6098260202101473,9.206922426329738,-2.4767769981437535
4,1.9615509829829902,1.2016886650925396,-6.040534966266433,3.626528728562284,8.002085949249423,-2.4248400634697442
5,0.2127790904599081,1.355421522070926,-7.411073420625665,3.6863391688536993,7.623852511085573,-2.3309176467827735
6,1.335336051815847,1.4440553202087822,-6.52857648204441,3.6479549882243116,7.8639125338602565,-2.2038996680155294
7,3.9151947283349418,1.5686398619325823,-4.795541722322492,3.5705201540481197,8.710736450657434,-2.0018802921155374
8,5.928857006189571,1.4858125870616892,-2.863829403047406,3.4442442696055857,8.792686409236978,-1.9584316825438965
9,7.084458005408487,1.6220754335485876,-1.0896127765644297,3.452689653626519,8.174070781972917,-1.8306142200779314
10,6.078905104997691,1.7300278130386404,-0.7675388484710717,3.4566063620902265,6.8464439534687624,-1.7265785490515861
11,5.193152178299319,1.8441877709039278,-0.45327602445662496,3.48677814764334,5.646428202755944,-1.642590376739412
12,4.731994539150289,1.7836161398383985,-0.1673974346531213,3.57430463081627,4.899391973803411,-1.7906884909778715
13,4.759249703668625,1.8201194334239639,0.20367219610717008,3.6405348023713264,4.5555775075614555,-1.8204153689473626
14,4.877200090494352,1.8419021186229887,0.1643968217617724,3.6588174403836513,4.712803268732579,-1.8169153217606626
15,4.292120560555777,2.000689877042125,-0.3848226798580655,3.6250827608213796,4.676943240413842,-1.6243928837792545
16,5.1194074617079215,2.084663392897584,-0.5689126265025799,3.5744534289332175,5.688320088210501,-1.4897900360356333
17,7.979805708725156,2.081117826532661,0.7314692029195347,3.5024250418318257,7.2483365058056215,-1.4213072152991648
18,9.311542397545066,2.014556803203759,0.8239225316460465,3.5456509444179725,8.48761986589902,-1.5310941412142136
19,8.663439658303318,2.024442961241688,0.09802696485925386,3.483147877579034,8.565412693444063,-1.458704916337346
20,5.606085772190208,2.0958239836890695,-2.430650482974495,3.4242302614094084,8.036736255164703,-1.328406277720339
21,3.9290079277078513,2.2437658013076596,-3.4450206412607476,3.381550173596389,7.374028568968599,-1.1377843722887295
22,3.8016977799132987,2.3594584044201983,-3.257763041049401,3.371528408933275,7.0594608209627,-1.0120700045130766
23,4.906150894351085,2.444290459925955,-3.0327094530465004,3.34715562781748,7.938860347397585,-0.9028651678915249
24,5.768927004130191,2.492999737910213,-2.7605506277323593,3.3415654819786718,8.52947763186255,-0.8485657440684586
25,4.253655437617743,2.481731075946145,-3.915577633803665,3.3270011308234135,8.169233071421408,-0.8452700548772687
26,3.1355513675155224,2.36402129352618,-5.42850497287062,3.383311340588521,8.564056340386141,-1.019290047062341
27,4.338015800377265,2.4187709153457164,-4.383705469996528,3.396893028999831,8.721721270373793,-0.9781221136541145
28,7.021999253708098,2.5339297580849935,-2.336079407322811,3.3290537191747807,9.358078661030909,-0.7951239610897871
29,8.806296663126949,2.680086637394896,-1.5376741133269005,3.211016358440099,10.34397077645385,-0.5309297210452026
30,9.532905770960262,2.7919978694278393,-1.3862198372921957,3.136381357707396,10.919125608252457,-0.34438348827955645
31,9.740898290322916,2.7753991803563554,-1.9028696369170834,3.0368625355047336,11.643767927239999,-0.26146335514837826
32,11.958692222097534,2.8823179436432027,-0.2090897679009507,3.0627998976039783,12.167781989998485,-0.1804819539607756
33,12.793311764893698,2.9455794265308897,-0.26119108165815047,3.0798955009559634,13.054502846551848,-0.13431607442507376
34,14.001642484481119,3.081821337679722,0.4344918984574778,3.052295892679181,13.56715058602364,0.029525445000540884
35,13.235406548340382,3.1459235282791815,-0.18108964267367478,2.9041237414957535,13.416496191014057,0.24179978678342806
36,12.776161013544511,3.1965935032193373,-0.6015671833596751,2.622633306387317,13.377728196904187,0.5739601968320205
