rel_time,att_point,se_boot,ci_low_boot,ci_high_boot,mean_att_boot,n_valid_draws,se_analytic
-12,-5.873799982892375,1.590525732872736,-8.86147686418801,-2.8114244375808486,-5.839939840166028,1000,1.5864302743273313
-11,-5.440059113674101,1.4622756042935556,-8.317171441892839,-2.6777117168019116,-5.422372184549371,1000,1.4585276898696948
-10,-6.195681424464763,1.3379347054807678,-8.671316975973228,-3.5822388713430495,-6.205499036732616,1000,1.3305162047048102
-9,-4.984661082679966,1.2006263047370003,-7.205908431013307,-2.5550319805372688,-4.931800692990204,1000,1.2374603806873161
-8,-4.191839372413477,1.0663046787760413,-6.288964214605112,-2.160962969853742,-4.201707737448121,1000,1.125762825198649
-7,-4.145324897288208,0.9389170621862274,-5.918437475479639,-2.3082285083212835,-4.114568844620747,1000,1.051290267080764
-6,-5.509949056573219,1.0049831187272378,-7.472644236293618,-3.651024282649711,-5.610419767034691,1000,1.070378566565778
-5,-5.103974507587054,0.9551054817726857,-6.98840561862426,-3.25988192424074,-5.211510301484196,1000,1.0605284426741297
-4,-3.6694729210691825,0.8757011626159331,-5.405890171845291,-2.02438553781449,-3.7258779412266896,1000,1.0154608896746082
-3,-1.682185554180011,0.6903224447629774,-3.0249339376917295,-0.2973486570271956,-1.6527371404104245,1000,0.8512212986556127
-2,-1.2268651161979407,0.48909688146308916,-2.1925843353921723,-0.329355258908416,-1.2224475448959546,1000,0.5988135966736876
0,0.9195105732723421,0.4612772835304038,-0.06897000926057961,1.73093804795413,0.826321420758301,1000,0.5908543980895762
1,1.7177443455768229,0.7194454574826513,0.3167685078319188,3.127229120449843,1.7427349517866422,1000,0.8485413802601072
2,3.6553745528832775,0.9833381661138464,1.8166092730961572,5.643547827330769,3.6966295930669815,1000,1.1242523241301157
3,3.4066217298633372,1.0202587057756543,1.5131099416324847,5.490744995336611,3.4746713542301615,1000,1.133049022066394
4,1.9615509829829902,1.069555642055648,-0.06349683845805754,4.09757094258406,1.9849896002811949,1000,1.2016886650925396
5,0.2127790904599081,1.2130007447878037,-2.1537199826191658,2.614979551880293,0.24714532460552063,1000,1.355421522070926
6,1.335336051815847,1.2611112737051662,-1.075172660396225,3.710384751313667,1.3239812759238916,1000,1.4440553202087822
7,3.9151947283349418,1.3450266120109386,1.3029689361156136,6.564343966147773,3.9753066190130384,1000,1.5686398619325823
8,5.928857006189571,1.2827778873440345,3.502842178802873,8.493585328407871,6.038788444037467,1000,1.4858125870616892
9,7.084458005408487,1.4623655181881894,4.469609864083252,10.055769092602299,7.221865452349214,1000,1.6220754335485876
10,6.078905104997691,1.592032115854569,3.266556709359863,9.289975626437412,6.229910306984167,1000,1.7300278130386404
11,5.193152178299319,1.7311844964677787,2.077790883959163,8.72544097523027,5.271744805258525,1000,1.8441877709039278
12,4.731994539150289,1.7122209081294781,1.6234735162263954,8.28222013505659,4.883166041443033,1000,1.7836161398383985
13,4.759249703668625,1.7543135351336243,1.5939651667621177,8.259723323328442,4.907631963772899,1000,1.8201194334239639
14,4.877200090494352,1.8038354839280457,1.5491433819426492,8.46000694742119,5.052578292755581,1000,1.8419021186229887
15,4.292120560555777,1.9582806735272187,0.59106387462157,8.173634828068465,4.430454685666433,1000,2.000689877042125
16,5.1194074617079215,2.0480710119095233,1.4280361616773454,9.12513157926332,5.2878260795760434,1000,2.084663392897584
17,7.979805708725156,2.0812890811815326,4.41700137933154,12.509602310693142,8.184907105299441,1000,2.081117826532661
18,9.311542397545066,2.0875071399188165,5.798229866269915,13.931251878397035,9.594992112325317,1000,2.014556803203759
19,8.663439658303318,2.1510056720165998,4.953742658221518,13.280499857084617,8.936593640085004,1000,2.024442961241688
20,5.606085772190208,2.1985035206961845,1.9273184908157928,10.30520057316163,5.9097974482530535,1000,2.0958239836890695
21,3.9290079277078513,2.291343814987313,-0.18009401126912267,8.72787539903977,4.131567392475566,1000,2.2437658013076596
22,3.8016977799132987,2.4337127022446188,-0.5832750538073859,8.784030654691463,3.929151234344593,1000,2.3594584044201983
23,4.906150894351085,2.541846496116436,0.2778306421246271,10.294994015954337,5.070402115944487,1000,2.444290459925955
24,5.768927004130191,2.6103517892652506,0.9987231248847191,11.296273940314304,5.984440340633117,1000,2.492999737910213
25,4.253655437617743,2.6357579212228,-0.38329856811704205,9.807753864045521,4.440848035466732,1000,2.481731075946145
26,3.1355513675155224,2.6139330019672813,-1.6161815902112306,8.521127726497106,3.286859170691255,1000,2.36402129352618
27,4.338015800377265,2.693562827957862,-0.5833120466975955,9.902667956070848,4.411004400478592,1000,2.4187709153457164
28,7.021999253708098,2.784671724726942,1.7201608234904557,12.66828787001602,7.189433229168273,1000,2.5339297580849935
29,8.806296663126949,2.912110583477636,3.464197590007766,14.833527254926802,9.029162776633543,1000,2.680086637394896
30,9.532905770960262,3.0360482274075586,4.127258842504241,16.18742601255324,9.824946666225133,1000,2.7919978694278393
31,9.740898290322916,3.0848253078044685,4.301086673184685,16.345162564277818,10.071834064726042,1000,2.7753991803563554
32,11.958692222097534,3.2283169815740917,6.197372094545701,18.8127161610704,12.312371776985394,1000,2.8823179436432027
33,12.793311764893698,3.3022362645497108,6.900027778432964,19.868493132638836,13.25227104013833,1000,2.9455794265308897
34,14.001642484481119,3.396329728034666,8.184825188690624,21.3527675282409,14.60382654314259,1000,3.081821337679722
35,13.235406548340382,3.486480249239917,7.011121168940375,20.78990165738276,13.922436458398682,1000,3.1459235282791815
36,12.776161013544511,3.5992069458050095,6.394727810906835,20.49245297045996,13.413552611973424,1000,3.1965935032193373
