cohort,rel_time,att,se,ci_low,ci_high
2016-07-01,-18,-60.93001078818509,7.011025400105454,-74.67162057239179,-47.188401003978406
2016-07-01,-17,-56.27892739560404,6.564486221570423,-69.14532038988207,-43.41253440132601
2016-07-01,-16,-45.73844953322471,5.704986141549049,-56.920222370660845,-34.556676695788575
2016-07-01,-15,-35.750409960791885,4.535012440263897,-44.63903434370913,-26.861785577874645
2016-07-01,-14,-25.307630087850395,3.7143053971214655,-32.587668666208465,-18.027591509492325
2016-07-01,-13,-15.499419144768858,3.383683258470402,-22.131438331370845,-8.867399958166871
2016-07-01,-12,-11.282423292982749,3.3034136336128084,-17.757114014863852,-4.807732571101645
2016-07-01,-11,-6.450149281691772,2.9695312228585684,-12.270430478494566,-0.6298680848889777
2016-07-01,-10,-18.256844125540084,3.2020229324623335,-24.532809073166256,-11.980879177913911
2016-07-01,-9,-26.415268100621613,3.506617621303527,-33.28823863837653,-19.5422975628667
2016-07-01,-8,-38.141973672854505,4.5297569046951205,-47.02029720605694,-29.263650139652068
2016-07-01,-7,-39.68823793028551,4.663914181262915,-48.829509725560825,-30.546966135010194
2016-07-01,-6,-39.559366676341796,4.287737789508748,-47.96333274377894,-31.15540060890465
2016-07-01,-5,-34.41065871044979,3.8898031098174046,-42.0346728056919,-26.786644615207674
2016-07-01,-4,-25.374687167812553,3.3722505385126813,-31.984298223297408,-18.765076112327698
2016-07-01,-3,-15.175711832400804,2.465746272795287,-20.008574527079567,-10.342849137722041
2016-07-01,-2,-6.8342449923559165,2.051454154068833,-10.855095134330828,-2.8133948503810045
2016-07-01,0,5.803308573326109,1.1793772658939035,3.491729132174058,8.11488801447816
2016-07-01,1,8.468972281346062,1.9590249508141548,4.629283377750319,12.308661184941805
2016-07-01,2,0.2589889438161066,2.4521989207637347,-4.547320940880813,5.0652988285130265
2016-07-01,3,-10.282665833141998,2.4135819127044718,-15.013286382042763,-5.552045284241233
2016-07-01,4,-29.11358950096011,3.9057423997239025,-36.76884460441896,-21.45833439750126
2016-07-01,5,-30.81354389980095,4.808632891207715,-40.238464366568074,-21.38862343303383
2016-07-01,6,-29.504275609755457,5.393264963770391,-40.07507493874542,-18.93347628076549
2016-07-01,7,-12.436869395188609,5.3083064543577905,-22.841150045729876,-2.03258874464734
2016-07-01,8,-2.776774623345048,3.673427865847984,-9.976693240407098,4.423143993717001
2016-07-01,9,8.422840518320875,3.444092283478723,1.672419642702578,15.173261393939171
2016-07-01,10,11.823597815721648,3.1267287076372314,5.695209548752675,17.95198608269062
2016-07-01,11,12.08349084639579,3.2744935617050897,5.665483465453814,18.501498227337766
2016-07-01,12,13.29747473779021,3.1012906969389284,7.218944971789911,19.37600450379051
2016-07-01,13,11.458422077074484,3.177369558458143,5.2307777424965245,17.686066411652444
2016-07-01,14,1.2020456451536887,3.9252913249157095,-6.491525351681102,8.895616641988479
2016-07-01,15,-13.992853047623605,4.135515656698388,-22.098463734752443,-5.887242360494765
2016-07-01,16,-25.346607116812994,4.72432838772688,-34.60629075675768,-16.086923476868307
2016-07-01,17,-16.957560755190606,3.389058539713151,-23.600115493028383,-10.31500601735283
2016-07-01,18,-8.752971479960735,3.3774582838995184,-15.37278971640379,-2.133153243517679
2016-07-01,19,2.010569551337909,3.9063615762815727,-5.645899138173974,9.667038240849791
2016-07-01,20,-1.6018243709284548,4.638080841591829,-10.692462820448439,7.488814078591529
2016-07-01,21,1.9314102576942673,5.083888144574763,-8.033010505672268,11.895831021060802
2016-07-01,22,2.122918604351554,4.684718053205657,-7.059128779931534,11.304965988634642
2016-07-01,23,8.410595142396843,4.457751927398164,-0.3265986353035579,17.147788920097245
2016-07-01,24,10.956700318723819,4.509018011701649,2.119025015788587,19.79437562165905
2016-07-01,25,9.287971986824537,5.15101639597384,-0.8080201492841876,19.383964122933264
2016-07-01,26,-0.3399393754339428,4.997161432443955,-10.134375783024094,9.454497032156208
2016-07-01,27,-7.183751659404365,4.884596280098887,-16.757560368398185,2.390057049589455
2016-07-01,28,-17.593997538811394,5.298846120432581,-27.979735934859253,-7.208259142763534
2016-07-01,29,-13.898259370655225,4.977658288705243,-23.654469616517503,-4.142049124792949
2016-07-01,30,-7.089846759791271,5.540787576425379,-17.949790409585013,3.7700968900024723
2016-07-01,31,3.5788686035366766,5.5272898460907065,-7.2546194948011085,14.412356701874462
2016-07-01,32,7.179772524095995,5.702129684169022,-3.996401656875289,18.35594670506728
2016-07-01,33,9.85103719011326,4.99884549021131,0.053300029299093055,19.648774350927425
2016-07-01,34,16.88680377724819,5.208421014687382,6.678298588460921,27.09530896603546
2016-07-01,35,23.215861573861915,5.5347625641330325,12.367726948161172,34.06399619956266
2016-07-01,36,22.732457121353548,5.968181584843222,11.034821215060832,34.430093027646265
2016-07-01,37,23.484431166529433,6.089705523879066,11.548608339726464,35.4202539933324
2016-07-01,38,20.878221056334326,6.149541048515859,8.825120601243242,32.93132151142541
2016-07-01,39,15.499007303286675,6.349971267744673,3.0530636185071156,27.944950988066232
2016-07-01,40,5.963122309916145,6.45394055299132,-6.686601173946842,18.61284579377913
2016-07-01,41,-1.4482124999906318,6.6883162012835,-14.557312254506291,11.660887254525028
2016-07-01,42,-4.094599252764311,6.2722355014018705,-16.388180835511978,8.198982329983355
2016-07-01,43,1.091931326248556,6.820499255963628,-12.276247215440154,14.460109867937266
2016-07-01,44,9.500119613043523,6.669947731634128,-3.572977940959367,22.573217167046415
2016-07-01,45,17.706835716101637,7.322958517205094,3.3538370223796523,32.05983440982362
2016-07-01,46,9.571489493444332,7.466583369766559,-5.063013911298123,24.205992898186786
2016-07-01,47,-2.082826118989516,7.830353561676521,-17.430319099875497,13.264666861896465
2016-07-01,48,-15.024035078401198,7.956648888404464,-30.619066899673946,0.5709967428715519
2016-07-01,49,-26.31599200822123,8.187744135363797,-42.36397051353427,-10.268013502908186
2016-07-01,50,-49.71095770666615,8.803615024472784,-66.96604315463281,-32.45587225869949
2016-07-01,51,-83.18307345497247,10.300554396190943,-103.37216007150673,-62.993986838438225
2016-07-01,52,-116.55396889044329,12.498408695064041,-141.0508499327688,-92.05708784811776
2016-07-01,53,-135.24652340640364,13.89738308729794,-162.4853942575076,-108.00765255529967
2016-07-01,54,-132.2924235852324,14.715008058246479,-161.1338393793955,-103.4510077910693
2016-07-01,55,-117.83191152598745,14.327868398896406,-145.9145335878244,-89.7492894641505
2016-07-01,56,-96.23576574948902,13.849904076119664,-123.38157773868356,-69.08995376029448
2016-07-01,57,-72.48114148375028,12.263205323244943,-96.51702391731037,-48.44525905019019
2016-07-01,58,-43.32358073438441,10.361935155191338,-63.632973638559434,-23.014187830209384
2016-07-01,59,-18.672702967489045,8.78526544367737,-35.89182323709669,-1.4535826978814015
2016-07-01,60,-2.673250741689799,8.209934488505496,-18.76472233916057,13.418220855780973
2016-07-01,61,3.4106248298182607,8.397332951210558,-13.048147754554432,19.869397414190953
2016-07-01,62,3.6694761480743807,8.441571941583808,-12.876004857429884,20.214957153578645
2016-07-01,63,-6.944512060824934,8.717975596628193,-24.03174423021619,10.142720108566323
2016-07-01,64,-18.821260940283935,8.842332543311908,-36.152232725175274,-1.4902891553925954
2016-07-01,65,-26.37777603121384,9.39158906421814,-44.7852905970814,-7.970261465346287
2016-07-01,66,-20.122763739599463,9.028672416203738,-37.81896167535879,-2.4265658038401376
2016-07-01,67,-12.724926977903607,9.052078711467836,-30.467001252380566,5.017147296573352
2016-07-01,68,1.5482856852346742,9.072677803607725,-16.234162809836466,19.330734180305814
2016-07-01,69,15.191031849435092,9.67912233553905,-3.780047928221446,34.16211162709163
2016-07-01,70,33.219166806166584,9.760321207326841,14.088937239805976,52.349396372527195
2016-07-01,71,48.05249586621579,10.163045950365937,28.132925803498555,67.97206592893303
2016-07-01,72,58.9372203085199,10.089702565974822,39.161403279209246,78.71303733783054
2016-07-01,73,57.90297422237745,10.097714743393379,38.11145332532643,77.69449511942847
2016-07-01,74,50.045174441550216,9.641065228897988,31.14868659291016,68.94166229019027
2016-07-01,75,41.04770091582793,10.09237736795409,21.266641274637916,60.828760557017944
2016-07-01,76,30.33511590263953,9.525711122263344,11.664722103003378,49.00550970227568
2016-07-01,77,21.910463196054025,10.30164031807801,1.7192481726211284,42.10167821948692
2016-07-01,78,23.73647169896583,10.380416144481387,3.3908560557823115,44.08208734214935
2016-07-01,79,30.715315168910422,10.80363289060976,9.54019470331529,51.89043563450555
2016-07-01,80,44.55698520917309,10.548738635592443,23.881457483411904,65.23251293493428
2016-07-01,81,50.794795874584224,10.453930289481377,30.305092507200726,71.28449924196772
2016-07-01,82,66.3573773272052,11.123120112080816,44.5560619075268,88.1586927468836
2016-07-01,83,83.6829594154338,12.087462973516425,59.9915319873416,107.374386843526
2016-07-01,84,95.1342746786666,12.613121130245515,70.4125572633854,119.8559920939478
2016-07-01,85,94.38499229020704,12.667410595689338,69.55686752265593,119.21311705775814
2016-07-01,86,76.54112295746904,12.718243202125892,51.61336628130229,101.4688796336358
2016-07-01,87,49.99399905394279,12.798365657044807,24.909202366134966,75.07879574175061
2016-07-01,88,28.420984215130943,13.784393553227503,1.4035728508050376,55.43839557945685
2016-07-01,89,11.987193327389718,13.772812362416614,-15.007518902946845,38.98190555772628
2016-07-01,90,20.167687446049342,14.237054538771655,-7.736939449943101,48.072314342041786
2016-07-01,91,33.74282810093672,14.234224120271367,5.843748825204841,61.6419073766686
2016-07-01,92,48.975265836662516,14.490991395791223,20.572922700911718,77.37760897241331
2016-07-01,93,61.03529135306525,14.620736322679521,32.37864816061339,89.69193454551711
2016-07-01,94,75.10948336748248,14.748782473523129,46.20186971937715,104.01709701558781
2016-07-01,95,87.47031007713753,15.339914862366431,57.40407694689932,117.53654320737573
2016-07-01,96,89.51225260771088,15.325662355215576,59.47395439148835,119.5505508239334
2016-07-01,97,79.69169564831316,15.539791360906655,49.23370458093611,110.1496867156902
2016-07-01,98,68.80145855576035,15.341458019395644,38.732200837744884,98.87071627377581
2016-07-01,99,48.83786591732087,14.99646691215966,19.444790769487938,78.2309410651538
2016-07-01,100,37.59411684425453,15.610411014456057,6.99771125592066,68.1905224325884
2016-07-01,101,32.619344834430194,16.284391103852773,0.7019382708787596,64.53675139798163
2016-07-01,102,36.21034965736919,16.092087973902288,4.6698572285207085,67.75084208621767
2016-07-01,103,49.62982688682325,15.855187438576847,18.553659507212632,80.70599426643388
2016-07-01,104,57.74055835878687,16.024719073185356,26.332108975343573,89.14900774223017
2016-07-01,105,81.50086159368823,17.42306768624595,47.35164892864616,115.65007425873029
2016-07-01,106,97.98985735809174,18.020892942672635,62.668907190453375,133.3108075257301
2016-07-01,107,115.82009246834605,18.56680318551965,79.42915822472753,152.21102671196456
2016-07-01,108,119.29384124251533,18.33605423115847,83.35517494944472,155.23250753558594
2016-07-01,109,115.14419975160104,18.2531778444791,79.367971176422,150.92042832678007
2016-08-01,-19,-32.54929935469132,7.217006596656939,-46.69463228413892,-18.40396642524372
2016-08-01,-18,-29.69500469467815,6.619188373106965,-42.6686139059678,-16.7213954833885
2016-08-01,-17,-26.892439561539383,5.876195392347724,-38.40978253054092,-15.375096592537844
2016-08-01,-16,-21.579843280608454,4.7976401178541765,-30.98321791160264,-12.176468649614268
2016-08-01,-15,-18.601829501353738,4.005977530606851,-26.453545461343165,-10.75011354136431
2016-08-01,-14,-12.709654478587112,3.506143646487341,-19.5816960257023,-5.837612931471924
2016-08-01,-13,-10.88795351501183,3.3236216758349544,-17.402251999648342,-4.373655030375319
2016-08-01,-12,-7.628807336123948,3.2734549964508473,-14.044779129167608,-1.2128355430802875
2016-08-01,-11,-10.710142255446296,3.6722096996381177,-17.907673266737007,-3.512611244155586
2016-08-01,-10,-14.887342773936467,4.10212156930251,-22.92750104976939,-6.847184498103546
2016-08-01,-9,-18.22354252345482,4.735805992123418,-27.50572226801672,-8.941362778892922
2016-08-01,-8,-20.096795138711133,4.786059937502832,-29.477472616216684,-10.716117661205583
2016-08-01,-7,-18.447936167185123,4.337053769517766,-26.948561555439944,-9.947310778930301
2016-08-01,-6,-18.61051496735937,3.7312943487880927,-25.923851890984032,-11.29717804373471
2016-08-01,-5,-12.34443188721321,3.1793465674438965,-18.575951159403246,-6.1129126150231725
2016-08-01,-4,-6.945864866372044,2.4945885567045276,-11.835258437512918,-2.0564712952311694
2016-08-01,-3,-2.0112629006619613,2.179649368989711,-6.283375663881795,2.2608498625578726
2016-08-01,-2,-1.0253180375122772,0.9646979198402038,-2.916125960399077,0.8654898853745221
2016-08-01,0,-0.10547785704467838,1.0959342099697866,-2.2535089085854603,2.0425531944961035
2016-08-01,1,-3.2009557805807916,1.6398782318071037,-6.415117114922715,0.01320555376113175
2016-08-01,2,-4.664265083184887,2.488494914652887,-9.541715115904545,0.21318494953477174
2016-08-01,3,-11.674750122622783,3.7265002359095134,-18.978690585005427,-4.370809660240137
2016-08-01,4,-12.979449191204054,4.777373785620275,-22.343101811019793,-3.615796571388314
2016-08-01,5,-15.480104103851168,4.746083279994315,-24.782427332640026,-6.177780875062311
2016-08-01,6,-7.7306776374485615,3.7286348647825083,-15.038801972422277,-0.4225533024748458
2016-08-01,7,-3.4105744772576614,2.364070129502555,-8.04415193108267,1.2230029765673462
