parameter_value,n_matched_treated_tracts,n_matched_control_tracts,max_control_reuse,att_full_panel,se_full_panel,att_matched,se_matched,att_residualized,se_residualized
1,274,83,24,20.64857151121078,0.354377402042567,3.677852512073813,0.4435810966667205,-57.98393592653138,0.5529425115045101
2,274,136,31,20.64857151121078,0.354377402042567,4.395979190699546,0.4058349168161559,-83.9000668794272,0.5367780605553406
3,274,176,31,20.64857151121078,0.354377402042567,5.456416006902977,0.3895606130856879,-87.79736113434961,0.5577825464378953
4,274,213,41,20.64857151121078,0.354377402042567,6.881470094429844,0.3817317244553904,-91.6245919821988,0.5610740699200458
5,274,248,41,20.64857151121078,0.354377402042567,7.877509842643763,0.37656607625754,-90.6176522711792,0.5790967900472193
