parameter_value,n_matched_treated_tracts,n_matched_control_tracts,max_control_reuse,att_full_panel,se_full_panel,att_matched,se_matched,att_residualized,se_residualized,n_ever_treated_tracts
0.1,329,175,39,20.86932767231,0.3579227747086312,9.965610506492665,0.3969690600662212,-66.10386293471429,0.5757390365261096,329
0.15,311,172,36,20.17900124693029,0.3554996784412164,8.528223304104777,0.3951128017532724,-76.3647971044075,0.5830545752481547,311
0.25,274,176,31,20.64857151121078,0.354377402042567,5.456416006902977,0.3895606130856879,-87.79736113434961,0.5577825464378953,274
0.33,245,159,31,21.16190358880102,0.3789768797020341,4.194216403180818,0.4127735812101066,-77.16805449370666,0.6495794067620502,245
0.5,183,148,31,19.831427403649958,0.4348253165101166,3.810871780879909,0.4645684870591104,-87.97053038076494,0.6649293360178664,183
